d6-8,d9-11,d12-14,d15-17,d18-20,d21-23,d24-26,d27-29,d36-38,d30-32,d33-35,d39-41,d42-44,d45-47,d48-50
21.5,10.4,10,8.06,6.48,6.48,4.76,4.3,3.37,0.8,2.8,1.6,,,
21.6,18.8,11.1,9.24,5.1,6.22,3.65,4.26,2.26,3.1,1.2,1.8,,,
20.2,12.6,11.6,6.25,6.52,6.95,4.23,5.5,2.05,1.6,1.4,2.5,,,
16.2,17.5,8.98,4.55,5.35,6.04,3.6,4.05,1.86,2,2.2,1.6,,,
14.2,13.6,13.1,7.05,4.91,5.63,2.34,2.04,1.56,1.6,2.9,2,,,
15.2,16,7.15,7.83,7.37,4.83,2.56,4.24,2.48,2.8,0.8,0.9,,,
16.1,12.7,7.74,10.38,5.61,7.2,2.9,4.1,3,1.9,2.1,1.1,,,
19,19.82,10.66,9.14,8.4,4.2,1.3,3.4,1.3,2.7,1.9,1.1,,,
24.18,18.45,6.76,7.71,4.75,6.4,8,8.2,1.8,1.3,1.3,2.3,,,
22.44,15.5,15.03,5.65,4.6,0.8,4.7,6.9,1.5,0.8,1.3,1.8,,,
19.5,16.89,10.56,7.86,8.43,8.8,4.8,4.3,0.9,1.9,,,,,
21.52,19.89,12.98,10.3,4.12,6.4,3.3,2.8,2.4,1.9,,,,,
27.15,17.89,11.11,7.1,5.45,7.7,4.4,2.8,0,4.5,,,,,
27.6,22.5,9.78,7.4,4.4,,3.3,,1.3,2.9,,,,,
17.11,18.8,8.9,4.6,8.24,,,,,3.2,,,,,
17.74,24.5,6.99,8.9,4.15,,,,,1.7,,,,,
16.4,18.7,5.47,8.9,3.57,,,,,3.4,,,,,
16.5,16.1,8.06,6.8,3.6,,,,,1.9,,,,,
23,18.9,7.3,6.1,5.8,,,,,,,,,,
29.4,18.4,12.6,,6.8,,,,,,,,,,
23.6,23.6,15.1,,11.4,,,,,,,,,,
8.9,22.2,11,,4.1,,,,,,,,,,
23.2,29,16.7,,3.1,,,,,,,,,,
17.9,21.8,14.1,,9.6,,,,,,,,,,
32.2,,9.1,,,,,,,,,,,,
24.3,,9.2,,,,,,,,,,,,
31.6,,,,,,,,,,,,,,
35.1,,,,,,,,,,,,,,
20.7,,,,,,,,,,,,,,
25.1,,,,,,,,,,,,,,
28.1,,,,,,,,,,,,,,
24.7,,,,,,,,,,,,,,
28.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
