d6-8,d9-11,d12-14,d15-17,d18-20,d21-23,d24-26,d27-29,d36-38,d30-32,d33-35,d39-41,d42-44,d45-47,d48-50
0.9,0,5.03,7.35,11.6,8.81,6.22,13.09,7.6,0,6.7,5.7,10.6,11.8,8
2.4,0.9,3.61,10.5,10.1,6.9,9.06,9.76,5.8,13,2.5,6.7,5.1,9.8,9.9
0.9,1.14,3.08,7.92,9.91,12.15,12.36,5.93,8.5,6.9,5.1,8.2,7.9,1.62,7.7
1.79,2.97,4.69,3.67,6.39,8.43,8.1,5.28,4.9,0,1,0,13.2,8.6,6.9
1.09,1.16,4.77,3.55,4.67,6.8,8.15,8.94,3.9,6.4,3.7,3.9,12.5,4,9
0.69,1.27,2.6,4.9,5.78,6.35,6.98,,6.1,10.9,7.7,8.5,9.5,18.8,
0.8,1.37,4.38,6.7,6.41,,5.7,,6.6,5.8,9.3,2.9,2.9,2.5,
3.7,1.62,3.01,8.4,4,,11.2,,7.4,11.1,6.1,5.5,9.5,4.5,
1,,2.3,7.1,1.8,,10.5,,6,8.4,15.8,4.3,6.7,6,
2.6,,1.9,8.7,7.7,,8.5,,11.2,3.3,8.9,,,,
0.35,,0,10.8,4.7,,10.3,,4.5,9.3,,,,,
2.9,,2.2,12.2,4.6,,7.7,,9.1,8,,,,,
2.6,,3,6.7,6.2,,,,,6.7,,,,,
0.8,,3.3,,4.7,,,,,6.8,,,,,
2.3,,4.5,,9.1,,,,,9.2,,,,,
0,,4.6,,4.5,,,,,7.7,,,,,
2.8,,0,,12.8,,,,,6.8,,,,,
4.8,,3.8,,5.4,,,,,,,,,,
,,7.5,,6.2,,,,,,,,,,
,,,,12.7,,,,,,,,,,
